id,root_word_phrase,variants,often_combined_with,severity,context_why_avoid,synonyms,synonyms_that_rhyme,synonyms_same_syllables,frequency_score,weighted_score,phrase_type,analysis_source
1000,find way,a find way | find waies | the find way | find way | find's way,can't | peace | strength | love | light,CRITICAL,"Extremely overused phrase appearing 10854 times in dataset. Creates predictable, generic lyrics.",find out | recover | rule | find oneself | uncovering | path | means | agency,day | say | play | stay,,10854,10854,bigram,automated_detection
1001,feel like,feel's like | feel like | the feel like | a feel like | feel likes,can't | right | everything | heart | moment,CRITICAL,"Extremely overused phrase appearing 8721 times in dataset. Creates predictable, generic lyrics.",flavor | palpate | find | feeling | spirit | alike | corresponding | the like,,,8721,8721,bigram,automated_detection
1002,let go,let gos | let go | let's go | the let go | a let go,can't | love | letting | never | let's,CRITICAL,"Extremely overused phrase appearing 8242 times in dataset. Creates predictable, generic lyrics.",permit | allow | countenance | lease | get | travel | run | croak,,,8242,8242,bigram,automated_detection
1003,every step,every step | the every step | every steps | every's step | a every step,move | scar | touch | feel | night,CRITICAL,"Extremely overused phrase appearing 6021 times in dataset. Creates predictable, generic lyrics.",ill-use | mistreat | maltreat | tread | measure,,,6021,6021,bigram,automated_detection
1004,can't see,a can't see | can't sees | the can't see | can't's see | can't see,free | way | feel | light | face,CRITICAL,"Extremely overused phrase appearing 5315 times in dataset. Creates predictable, generic lyrics.",insure | pick up | take in | find out | control,,,5315,5315,bigram,automated_detection
1005,every tear,every tear | every's tear | the every tear | every tears | a every tear,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 2826 times in dataset. Creates predictable, generic lyrics.",split | bout | charge | binge | rip,,,2826,4239,bigram,automated_detection
1006,hold tight,a hold tight | the hold tight | hold's tight | hold tight | hold tights,close | hand | holding,CRITICAL,"Extremely overused phrase appearing 4089 times in dataset. Creates predictable, generic lyrics.",take for | appreciation | grip | cargo hold | control | sloshed | pixilated | mean,,,4089,4089,bigram,automated_detection
1007,every moment,every's moment | a every moment | every moments | the every moment | every moment,move | scar | touch | feel | night,CRITICAL,"Extremely overused phrase appearing 3966 times in dataset. Creates predictable, generic lyrics.",present moment | instant | here and now | import | minute,,,3966,3966,bigram,automated_detection
1008,stand tall,the stand tall | a stand tall | stand tall | stand's tall | stand talls,alone | together | standing | ground,CRITICAL,"Extremely overused phrase appearing 3676 times in dataset. Creates predictable, generic lyrics.",fend | remain firm | pedestal | endure | tie-up | marvelous | improbable | grandiloquent,,,3676,3676,bigram,automated_detection
1009,break free,the break free | break's free | break free | a break free | break frees,can't | wild | chain | breaking | away,CRITICAL,"Extremely overused phrase appearing 3380 times in dataset. Creates predictable, generic lyrics.",get around | gaolbreak | let out | geological fault | break in | disembarrass | relieve | liberal,,,3380,3380,bigram,automated_detection
1010,find peace,find's peace | the find peace | a find peace | find peaces | find peace,can't | love | strength | way | light,CRITICAL,"Extremely overused phrase appearing 3094 times in dataset. Creates predictable, generic lyrics.",find out | recover | rule | find oneself | uncovering | peace of mind | public security | heartsease,,,3094,3094,bigram,automated_detection
1011,trying find,a trying find | the trying find | trying find | trying finds | trying's find,can't | peace | strength | love | way,CRITICAL,"Extremely overused phrase appearing 3047 times in dataset. Creates predictable, generic lyrics.",test | assay | render | examine | try out | find out | recover | rule,,,3047,3047,bigram,automated_detection
1012,breaking free,breaking free | the breaking free | breaking's free | breaking frees | a breaking free,can't | wild | chain | break | set,CRITICAL,"Extremely overused phrase appearing 3010 times in dataset. Creates predictable, generic lyrics.",relegate | get around | split | dampen | break out | disembarrass | relieve | liberal,,,3010,3010,bigram,automated_detection
1013,can't escape,the can't escape | can't escape | a can't escape | can't's escape | can't escapes,free | love | find | way | feel,CRITICAL,"Extremely overused phrase appearing 3002 times in dataset. Creates predictable, generic lyrics.",evasion | run | scarper | relief valve | head for the hills,,,3002,3002,bigram,automated_detection
1014,fade away,fade away | fade awaies | fade's away | the fade away | a fade away,never | far | break | walk | slip,CRITICAL,"Extremely overused phrase appearing 3711 times in dataset. Creates predictable, generic lyrics.",fleet | blow over | evanesce | pass off | slice | forth | out | aside,,,3711,2968.8,bigram,automated_detection
1015,set free,the set free | set frees | a set free | set's free | set free,can't | wild | chain | break | breaking,CRITICAL,"Extremely overused phrase appearing 2907 times in dataset. Creates predictable, generic lyrics.",correct | do | fixed | position | lay | disembarrass | relieve | liberal,,,2907,2907,bigram,automated_detection
1016,can't find,the can't find | a can't find | can't find | can't finds | can't's find,free | strength | way | feel | light,CRITICAL,"Extremely overused phrase appearing 2890 times in dataset. Creates predictable, generic lyrics.",find out | recover | rule | find oneself | uncovering,,,2890,2890,bigram,automated_detection
1017,every day,the every day | a every day | every's day | every daies | every day,move | scar | touch | feel | night,CRITICAL,"Extremely overused phrase appearing 3519 times in dataset. Creates predictable, generic lyrics.",solar day | Day | Clarence Shepard Day Jr. | 24-hour interval | twenty-four hours,,,3519,2815.2,bigram,automated_detection
1018,step take,step take | step's take | a step take | step takes | the step take,back | every | feel | flight | breath,CRITICAL,"Extremely overused phrase appearing 2751 times in dataset. Creates predictable, generic lyrics.",ill-use | mistreat | maltreat | tread | measure | payoff | engage | take in,,,2751,2751,bigram,automated_detection
1019,broken heart,the broken heart | broken heart | broken's heart | broken hearts | a broken heart,still | dream | beat | feel,CRITICAL,"Extremely overused phrase appearing 1744 times in dataset. Creates predictable, generic lyrics.",get around | let out | break in | crack | violate | sum | nub | inwardness,part | start | art | smart,,1744,2616,bigram,automated_detection
1020,deep inside,deep inside | deep insides | a deep inside | deep's inside | the deep inside,cut | within,CRITICAL,"Extremely overused phrase appearing 2588 times in dataset. Creates predictable, generic lyrics.",mystifying | inscrutable | abstruse | late | recondite | privileged | inwardly | in spite of appearance,,,2588,2588,bigram,automated_detection
1021,find strength,the find strength | a find strength | find strength | find's strength | find strengths,can't | peace | love | way | light,CRITICAL,"Extremely overused phrase appearing 2562 times in dataset. Creates predictable, generic lyrics.",find out | recover | rule | find oneself | uncovering | military strength | forte | potency,,,2562,2562,bigram,automated_detection
1022,every breath,the every breath | a every breath | every breath | every breaths | every's breath,move | scar | touch | feel | light,CRITICAL,"Extremely overused phrase appearing 2549 times in dataset. Creates predictable, generic lyrics.",breathing time | breather | hint | breathing space | breathing place,,,2549,2549,bigram,automated_detection
1023,break chain,break chain | a break chain | break chains | the break chain | break's chain,free | can't | breaking | away,CRITICAL,"Extremely overused phrase appearing 2539 times in dataset. Creates predictable, generic lyrics.",get around | gaolbreak | let out | geological fault | break in | Ernst Boris Chain | concatenation | Sir Ernst Boris Chain,,,2539,2539,bigram,automated_detection
