id,root_word_phrase,variants,often_combined_with,severity,context_why_avoid,synonyms,synonyms_that_rhyme,synonyms_same_syllables
"1","broken","broke, break, breaks, breaking","dreams, glass, hearts","EXTREME","AI overuses this word / phrase in lyrics","damaged, torn, split, cracked, wounded, severed","spoken, token, woken, open","damaged, wounded, severed, torn, split"
"2","carve","carves, carved, carving","out","EXTREME","AI overuses this word / phrase in lyrics","sculpt, shape, craft, form, build, create","starve, curve, swerve, nerve","shape, craft, form, build, make, forge"
"3","chains","chain, chained, unchain, unchained","broken, break, release","EXTREME","AI overuses this word / phrase in lyrics","bonds, ties, links, ropes, restraints, bindings","rains, gains, pains, veins, reins","bonds, ties, links, ropes, cords"
"4","echo","echoes, echoed","","EXTREME","AI overuses this word / phrase in lyrics, often used for easy rhyme","rebound, reflect, repeat, mirror, bounce back, ring out","let go, say so, you know, below","rebound, reflect, repeat, mirror, bounce back"
"5","fade","fading, fades, faded","light, dreams, hope","EXTREME","AI overuses this word / phrase in lyrics","dim, blur, dissolve, slip away, disappear, drift","made, stayed, played, afraid, parade","dim, blur, drift, slip, melt"
"6","forgot","forgot, forget, forgotten, forget, forgets","dreams","EXTREME","AI overuses this word / phrase in lyrics","lost, misplaced, let slip, overlooked, ignored, abandoned","hot, shot, got, caught, thought","lost, missed, dropped, left, skipped"
"7","fractured","fracture, fractures, fracturing","","EXTREME","Overused by AI as alternative to broken/shattered - now clichéd itself","damaged, torn, split, cracked, wounded, severed","captured, featured, lectured, pictured","damaged, wounded, severed, torn, split"
"8","ignite","ignited, ignites","heart, dreams, fire, hope, passion","EXTREME","AI overuses this word / phrase in lyrics","kindle, light up, set ablaze, start, trigger, awaken","bright, sight, light, night, flight","kindle, light up, set off, start up"
"9","paints","painted, painting, paint","in the sky, on the wall, on my heart","EXTREME","AI overuses this word / phrase in lyrics","creates, draws, sketches, colors, designs, illustrates","saints, faints, complaints, restraints","draws, makes, forms, builds, crafts"
"10","seam","seams","at the seam, bursting","EXTREME","AI overuses this word / phrase in lyrics","edge, border, junction, connection, line, boundary","dream, beam, cream, team, stream","edge, line, crack, split, gap"
"11","shadow","shadows, shadowed, overshadow","","EXTREME","AI overuses this word / phrase in lyrics","silhouette, outline, shade, figure, reflection, darkness","meadow, narrow, arrow, shallow, follow","outline, darkness, figure, cover"
"12","shatter","shatters, shattered, shattering","dreams, glass","EXTREME","AI overuses this word / phrase in lyrics","splinter, crack apart, break violently, burst, explode, disintegrate","matter, chatter, scatter, flatter, fatter","splinter, crack up, break down, blow apart"
"13","spark","sparks, sparked","ignite, light, fire","EXTREME","AI overuses this word / phrase in lyrics","flash, glimmer, flicker, burst, energy, jolt","dark, mark, park, shark, bark","flash, burst, jolt, charge, shock"
"14","static","","","EXTREME","AI overuses this word / phrase in lyrics","interference, noise, chaos, disorder, confusion, turbulence","dramatic, automatic, systematic, cinematic","chaos, noise, mess, blur"
"15","unsaid","left unsaid, words unsaid","words, dreams","EXTREME","AI overuses this word / phrase in lyrics","unspoken, silent, withheld, kept quiet, held back, bottled up","instead, ahead, read, led, fed","unspoken, withheld, kept quiet"
"16","unseen","left unseen, goes unseen","","EXTREME","AI overuses this word / phrase in lyrics","hidden, invisible, concealed, obscured, veiled, secret","between, clean, mean, screen, green","hidden, secret, veiled, concealed"
"17","whisper","whispers, whispered","dreams","EXTREME","AI overuses this word / phrase in lyrics","murmur, breathe, speak softly, confide, tell quietly, share low","sister, mister, blister, twister","murmur, breathe soft, speak low"
"18","fault","faults, faultline","line, crack, heart, break","HIGH","AI overuses this word / phrase in lyrics","crack, fissure, break, blame, error, flaw","salt, halt, vault, malt, assault","crack, break, flaw, blame, split"
"19","stars","star, starry","stars align, sky, bright, shine","HIGH","AI overuses this word / phrase in lyrics","lights, beacons, points of light, distant suns, celestial bodies, luminaries","cars, bars, scars, mars, guitars","lights, suns, dots, sparks"
"20","storm","storms, stormy","skies, weather, times, night","HIGH","AI overuses this word / phrase in lyrics","hurricane, tempest, chaos, fury, rage, turbulence","warm, form, swarm, norm, dorm","rage, fury, chaos, tempest"
"21","every step","each step, step by step","I take, I make, we go","MEDIUM","AI overuses this word / phrase in lyrics","each move, every choice, all the ways, each moment, every breath","every depth, every breath, every rest","every move, each moment, all the ways, every choice"
